file name, original file size, huffman encode time, huffman encoded size, size reduced by, huffman decode time, original file size, shannon encode time, shannon encoded size, size reduced by, shannon decode time
infile_test_8.txt, 5386762, 0.7900700569152832, 4029991, 0.25, 3.1266002655029297, 5386762, 1.8325831890106201, 32267238, -4.99, 61.627126932144165
infile_test_9.txt, 6060094, 0.8796522617340088, 4533637, 0.25, 3.3934860229492188, 6060094, 2.0642096996307373, 36300564, -4.99, 68.08421778678894
infile_test_shakespeare_13.txt, 8753425, 1.2428829669952393, 4801455, 0.45, 3.7076852321624756, 8753425, 3.5551507472991943, 39294294, -3.49, 85.58170700073242
infile_test_shakespeare_2.txt, 1346766, 0.20263314247131348, 738900, 0.45, 0.6055607795715332, 1346766, 0.42548227310180664, 6041425, -3.49, 12.704560279846191
infile_test_shakespeare_3.txt, 2020098, 0.30002784729003906, 1108805, 0.45, 0.8792996406555176, 2020098, 0.8942527770996094, 9069064, -3.49, 19.069288730621338
infile_test_shakespeare_12.txt, 8080092, 1.1624650955200195, 4432534, 0.45, 3.5619800090789795, 8080092, 2.56545090675354, 36274477, -3.49, 75.2634449005127
infile_test_shakespeare_10.txt, 6733427, 0.9566919803619385, 3693538, 0.45, 2.846971035003662, 6733427, 2.2172420024871826, 30225719, -3.49, 62.33241891860962
infile_test_shakespeare_1.txt, 673433, 0.11174511909484863, 369777, 0.45, 0.2990100383758545, 673433, 0.28000879287719727, 3020330, -3.48, 6.28976583480835
infile_test_shakespeare_0.txt, 100, 0.018910884857177734, 302, -2.02, 0.01699995994567871, 100, 0.013571739196777344, 431, -3.31, 0.013962030410766602
infile_test_shakespeare_11.txt, 7406760, 1.053382158279419, 4062870, 0.45, 3.202705144882202, 7406760, 2.9745869636535645, 33248577, -3.49, 72.37383508682251
infile_test_shakespeare_4.txt, 2693431, 0.469135046005249, 1477717, 0.45, 1.162815809249878, 2693431, 0.9710462093353271, 12088784, -3.49, 25.846645832061768
infile_test_shakespeare_5.txt, 3366764, 0.48174190521240234, 1846884, 0.45, 1.4672818183898926, 3366764, 1.1481781005859375, 15110449, -3.49, 31.528671979904175
infile_test_shakespeare_14.txt, 9426758, 1.3820111751556396, 5170763, 0.45, 4.0816309452056885, 9426758, 3.337144136428833, 42317031, -3.49, 89.22825193405151
infile_test_shakespeare_7.txt, 4713429, 0.6823832988739014, 2585630, 0.45, 2.055288076400757, 4713429, 1.8163249492645264, 21157264, -3.49, 44.408995628356934
infile_test_shakespeare_6.txt, 4040096, 0.5803718566894531, 2216722, 0.45, 1.7706670761108398, 4040096, 1.422179937362671, 18137553, -3.49, 38.598615884780884
infile_test_shakespeare_8.txt, 5386762, 0.7657711505889893, 2954955, 0.45, 2.2831807136535645, 5386762, 2.1648688316345215, 24180049, -3.49, 50.88881301879883
infile_test_shakespeare_9.txt, 6060094, 0.864558219909668, 3324628, 0.45, 2.6062700748443604, 6060094, 1.9992640018463135, 27205982, -3.49, 58.44191288948059
infile_test_1.txt, 673433, 0.11380600929260254, 504453, 0.25, 0.39292383193969727, 673433, 0.24169492721557617, 4033931, -4.99, 7.539056777954102
infile_test_11.txt, 7406760, 1.1341052055358887, 5540985, 0.25, 4.282640218734741, 7406760, 2.449211835861206, 44367226, -4.99, 82.87505578994751
infile_test_10.txt, 6733427, 0.9886600971221924, 5037377, 0.25, 3.892616033554077, 6733427, 2.222184896469116, 40333895, -4.99, 75.72826075553894
infile_test_0.txt, 100, 0.029181957244873047, 441, -3.41, 0.01731109619140625, 100, 0.014237165451049805, 542, -4.42, 0.014631032943725586
infile_test_2.txt, 1346766, 0.21026396751403809, 1008105, 0.25, 0.7660496234893799, 1346766, 0.4680142402648926, 8067262, -4.99, 15.238306999206543
infile_test_12.txt, 8080092, 1.188831090927124, 6044670, 0.25, 4.603070974349976, 8080092, 2.721632957458496, 48400552, -4.99, 90.84897112846375
infile_test_13.txt, 8753425, 1.311640739440918, 6548338, 0.25, 4.854264736175537, 8753425, 2.952449083328247, 52433883, -4.99, 98.34237289428711
infile_test_3.txt, 2020098, 0.34140586853027344, 1511747, 0.25, 1.1788198947906494, 2020098, 0.6813910007476807, 12100588, -4.99, 23.358958959579468
infile_test_7.txt, 4713429, 0.7069859504699707, 3526367, 0.25, 2.73523211479187, 4713429, 1.6688289642333984, 28233907, -4.99, 53.867939710617065
infile_test_6.txt, 4040096, 0.6054747104644775, 3022668, 0.25, 2.3980541229248047, 4040096, 1.3882830142974854, 24200576, -4.99, 46.778496980667114
infile_test_14.txt, 9426758, 1.4282031059265137, 7051990, 0.25, 5.480791091918945, 9426758, 3.2055530548095703, 56467214, -4.99, 108.18531203269958
infile_test_4.txt, 2693431, 0.41858696937561035, 2015408, 0.25, 1.5386550426483154, 2693431, 0.9780988693237305, 16133919, -4.99, 31.218695163726807
infile_test_5.txt, 3366764, 0.546288013458252, 2519046, 0.25, 1.9280712604522705, 3366764, 1.1646010875701904, 20167250, -4.99, 38.35536026954651
